shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
3001-2-1,36.701609951035,137.212899949192,21
3001-2-1,36.7009350865083,137.212486344692,22
3001-2-1,36.7004009513375,137.212264421409,23
3001-2-1,36.698919634701,137.21138939496,24
3001-2-1,36.6976091233775,137.210537428011,25
3001-2-1,36.695626532353,137.209760556321,26
3001-2-1,36.6942604357871,137.209224836731,27
3001-2-1,36.6934191215555,137.208963787787,28
3001-2-1,36.6929779524252,137.208910027204,29
3001-2-1,36.6925586323381,137.208934045737,30
3001-2-1,36.6922544973297,137.208874167415,31
3001-2-1,36.6921226617001,137.208741398893,32
3001-2-1,36.6923023111181,137.206122433272,33
3001-2-1,36.6924697869805,137.204430036436,34
3001-2-1,36.6926338396717,137.203188058908,35
3001-2-1,36.6929992003455,137.201929344613,36
3001-2-1,36.6940698470625,137.198281773158,37
3001-2-1,36.6946007964608,137.196457638223,38
3001-2-1,36.695012108445,137.195513326045,39
3001-2-1,36.6956925875116,137.194416999326,40
3001-2-1,36.696843648652,137.192892224176,41
3001-2-1,36.6985813786566,137.191196828679,42
3001-2-2,36.6985813786566,137.191196828679,1
3001-2-2,36.6971017233601,137.192688027082,2
3001-2-2,36.6956925875116,137.194416999326,3
3001-2-2,36.6948098264519,137.195935540336,4
3001-2-2,36.693838234309,137.199261246708,5
3001-2-2,36.6930701580629,137.201932668686,6
3001-2-2,36.6927081763166,137.203137797001,7
3001-2-2,36.6924697869805,137.204430036436,8
3001-2-2,36.6923023111181,137.206122433272,9
3001-2-2,36.6921796463738,137.208047814233,10
3001-2-2,36.692135012656,137.208634343338,11
3001-2-2,36.6922044973297,137.208859823499,12
3001-2-2,36.6925586323381,137.208934045737,13
3001-2-2,36.693478242628,137.208945945195,14
3001-2-2,36.6945185203522,137.209303379059,15
3001-2-2,36.695626532353,137.209760556321,16
3001-2-2,36.6969811486519,137.210294047056,17
3001-2-2,36.6980470350248,137.210791188594,18
3001-2-2,36.698919634701,137.21138939496,19
3001-2-2,36.6998661432008,137.211960515322,20
