route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,jp_parent_route_id
R090400068000000,5060001001128,［１０］,玉生車庫～健康の森～駒生,,3,,,,R090400068
R090400069000000,5060001001128,［８５］,駒生～インターパーク～上三川,,3,,,,R090400069
R090400069010001,5060001001128,［１０］,駒生～インターパーク～上三川,,3,,,,R090400069
R090400199000000,5060001001128,［１２］,駒生～越戸～平出工業団地,,3,,,,R090400199
R090400199010001,5060001001128,［１０］,駒生～越戸～平出工業団地,,3,,,,R090400199
R090400072000000,5060001001128,［１２］,駒生～越戸～柳田車庫,,3,,,,R090400072
R090400072010001,5060001001128,［１０］,駒生～越戸～柳田車庫,,3,,,,R090400072
R090400073000000,5060001001128,［８５］,駒生～屋板～上三川,,3,,,,R090400073
R090400073010001,5060001001128,［１０］,駒生～屋板～上三川,,3,,,,R090400073
R090400074000000,5060001001128,［８３］,駒生～卸会館前,,3,,,,R090400074
R090400074010001,5060001001128,［１０］,駒生～卸会館前,,3,,,,R090400074
R090400075000000,5060001001128,［６２］,駒生～玉生車庫,,3,,,,R090400075
R090400075010001,5060001001128,［１０］,駒生～玉生車庫,,3,,,,R090400075
R090400200000000,5060001001128,［０１］,駒生～健康の森～宇都宮駅西口,,3,,,,R090400200
R090400200010000,5060001001128,［０１］,駒生～健康の森～宇都宮駅西口,,3,,,,R090400200
R090400077000000,5060001001128,［６２］,駒生～健康の森～今里,,3,,,,R090400077
R090400201000000,5060001001128,［８０］,駒生～健康の森～瑞穂野団地,,3,,,,R090400201
R090400078000000,5060001001128,［１６］,駒生～済生会～富士見が丘団地,,3,,,,R090400078
R090400078010001,5060001001128,［１０］,駒生～済生会～富士見が丘団地,,3,,,,R090400078
R090400079000000,5060001001128,［１６］,駒生～十文字～富士見が丘団地,,3,,,,R090400079
R090400079010001,5060001001128,［１０］,駒生～十文字～富士見が丘団地,,3,,,,R090400079
R090400080000000,5060001001128,［１２］,駒生～森・越戸～柳田車庫,,3,,,,R090400080
R090400080010001,5060001001128,［１０］,駒生～森・越戸～柳田車庫,,3,,,,R090400080
R090400081000000,5060001001128,［８０］,駒生～瑞穂野団地［駅経由］,,3,,,,R090400081
R090400081010001,5060001001128,［１０］,駒生～瑞穂野団地［駅経由］,,3,,,,R090400081
R090400082000000,5060001001128,［６１］,駒生～田原～グリーンタウン,,3,,,,R090400082
R090400082010001,5060001001128,［１０］,駒生～田原～グリーンタウン,,3,,,,R090400082
R090400083000000,5060001001128,［６２］,駒生～田原～今里,,3,,,,R090400083
R090400083010001,5060001001128,［１０］,駒生～田原～今里,,3,,,,R090400083
R090400084000000,5060001001128,［８１］,駒生～東汗,,3,,,,R090400084
R090400084010001,5060001001128,［１０］,駒生～東汗,,3,,,,R090400084
R090400085000000,5060001001128,［１６］,駒生～富士見が丘団地,,3,,,,R090400085
R090400085010001,5060001001128,［１０］,駒生～富士見が丘団地,,3,,,,R090400085
R090400086000000,5060001001128,［６１］,駒生～宝井～グリーンタウン,,3,,,,R090400086
R090400086010001,5060001001128,［１０］,駒生～宝井～グリーンタウン,,3,,,,R090400086
R090400087000000,5060001001128,［８０］,駒生～本郷台西汗,,3,,,,R090400087
R090400087010001,5060001001128,［１０］,駒生～本郷台西汗,,3,,,,R090400087
R090400088000000,5060001001128,［８０］,駒生～緑の郷～瑞穂野団地,,3,,,,R090400088
R090400088010001,5060001001128,［１０］,駒生～緑の郷～瑞穂野団地,,3,,,,R090400088
R090400211000000,5060001001128,,駒生営業所～越戸～御幸交番,,3,,,,R090400211
R090400138000000,5060001001128,,黒田原駅前～上町,,3,,,,R090400138
R090400138010000,5060001001128,,黒田原駅前～上町,,3,,,,R090400138
R090400089000000,5060001001128,,今市車庫～下小林,,3,,,,R090400089
R090400089010000,5060001001128,,今市車庫～下小林,,3,,,,R090400089
R090400090000000,5060001001128,,佐野ＢＴ循環［右回り］,,3,,,,R090400090
R090400091000000,5060001001128,,佐野ＢＴ循環［左回り］,,3,,,,R090400091
R090400092000000,5060001001128,,佐野駅～佐野ＢＴ,,3,,,,R090400092
R090400092010000,5060001001128,,佐野駅～佐野ＢＴ,,3,,,,R090400092
R090400093000000,5060001001128,［７１］,細谷車庫～白沢河原,,3,,,,R090400093
R090400093010001,5060001001128,［５５］,細谷車庫～白沢河原,,3,,,,R090400093
R090400094000000,5060001001128,,自治医大駅～自治医大病院前,,3,,,,R090400094
R090400094010000,5060001001128,,自治医大駅～自治医大病院前,,3,,,,R090400094
R090400095000000,5060001001128,,小山駅東循環,,3,,,,R090400095
R090400110000000,5060001001128,,小山駅東循環［新市民病院線］,,3,,,,R090400110
R090400096000000,5060001001128,,小山駅東循環［保育園経由］,,3,,,,R090400096
R090400097000000,5060001001128,［１０］,上三川～健康の森～駒生,,3,,,,R090400097
R090400145000000,5060001001128,,真岡営業所～橋場～宇都宮東武,,3,,,,R090400145
R090400145010000,5060001001128,,真岡営業所～橋場～宇都宮東武,,3,,,,R090400145
R090400146000000,5060001001128,真岡営業所～石法寺・ベルモール～西原車庫,真岡営業所～石・ベ～西原車庫,,3,,,,R090400146
R090400146010000,5060001001128,真岡営業所～石法寺・ベルモール～西原車庫,真岡営業所～石・ベ～西原車庫,,3,,,,R090400146
R090400147000000,5060001001128,,真岡営業所～石法寺～西原車庫,,3,,,,R090400147
R090400147010000,5060001001128,,真岡営業所～石法寺～西原車庫,,3,,,,R090400147
R090400098000000,5060001001128,［１０］,瑞穂野団地～駒生［森経由］,,3,,,,R090400098
R090400098010001,5060001001128,［８０］,瑞穂野団地～駒生［森経由］,,3,,,,R090400098
R090400099000000,5060001001128,,雀宮駅～さつき団地～西川田駅東,,3,,,,R090400099
R090400099010000,5060001001128,,雀宮駅～さつき団地～西川田駅東,,3,,,,R090400099
R090400217000000,5060001001128,星の杜中学校・高等学校～宇都宮駅～宇都宮東武,星の杜～宇・宇～宇都宮東武,,3,,,,R090400217
R090400217010000,5060001001128,星の杜中学校・高等学校～宇都宮駅～宇都宮東武,星の杜～宇・宇～宇都宮東武,,3,,,,R090400217
R090400149000000,5060001001128,西那須野駅東口～国際医療福祉大学前,西那須野駅～国際医療福祉大学,,3,,,,R090400149
R090400149010000,5060001001128,西那須野駅東口～国際医療福祉大学前,西那須野駅～国際医療福祉大学,,3,,,,R090400149
R090400150000000,5060001001128,西那須野駅東口～黒羽高校～五峰の湯,西那須野駅～黒羽高校～五峰の湯,,3,,,,R090400150
R090400150010000,5060001001128,西那須野駅東口～黒羽高校～五峰の湯,西那須野駅～黒羽高校～五峰の湯,,3,,,,R090400150
